Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value (Rounded, Rs. In Lacs)","Rounded, % to Net Assets",Scheme Code,Scheme Name
Shakti Pumps (India) Ltd.,INE908D01010,Industrial Products,"1,43,945.000","1,359.78",3.94%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
UNO Minda Ltd.,INE405E01023,Auto Components,"1,05,773.000","1,168.05",3.39%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
The Federal Bank Ltd.,INE171A01029,Banks,"4,99,962.000","1,065.52",3.09%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Trent Ltd.,INE849A01020,Retailing,"16,206.00","1,007.61",2.92%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Bharat Electronics Ltd.,INE263A01024,Aerospace & Defense,"1,89,881.000",800.35,2.32%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Coromandel International Ltd.,INE169A01031,Fertilizers & Agrochemicals,"30,067.00",753.24,2.18%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
SRF Ltd.,INE647A01010,Chemicals & Petrochemicals,"22,981.00",745.07,2.16%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
The Indian Hotels Company Ltd.,INE053A01029,Leisure Services,"97,473.00",741.09,2.15%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Mahindra & Mahindra Financial Serv Ltd.,INE774D01024,Finance,"2,67,974.000",723.4,2.10%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Persistent Systems Ltd.,INE262H01021,IT - Software,"11,637.00",703.05,2.04%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Container Corporation Of India Ltd.,INE111A01025,Transport Services,"88,514.00",672.53,1.95%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Muthoot Finance Ltd.,INE414G01012,Finance,"25,597.00",671.64,1.95%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Garware Hi-Tech Films Ltd.,INE291A01017,Industrial Products,"15,607.00",655.12,1.90%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
Schaeffler India Ltd.,INE513A01022,Auto Components,"16,173.00",654.57,1.90%,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
