ISIN Code,Name of the instrument,"Rating / 
 Industry",Quantity,"Mkt Value
 Rs. in Lacs",% of Net Asset,Scheme code,Scheme Name
INE298A01020,Cummins India Ltd,Industrial Products,1290127,43856.58,3.42%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE169A01031,Coromandel International Ltd,Fertilizers & Agrochemicals,1712601,42904.08,3.35%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE171A01029,The Federal Bank Ltd,Banks,19545126,41654.57,3.25%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE303R01014,Kalyan Jewellers India Ltd,Consumer Durables,6016821,33444.5,2.61%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE774D01024,Mahindra & Mahindra Financial Services Ltd,Finance,11560712,31208.14,2.43%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE061F01013,Fortis Health Care Ltd,Healthcare Services,3879249,30820.63,2.40%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE262H01021,Persistent Systems Ltd,It - Software,484892,29294.75,2.29%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE326A01037,Lupin Ltd,Pharmaceuticals & Biotechnology,1510951,29282.23,2.28%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE200A01026,GE Vernova T and D India Ltd,Electrical Equipment,1179542,27850.17,2.17%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE094A01015,Hindustan Petroleum Corporation Ltd,Petroleum Products,6144382,26915.47,2.10%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE118H01025,BSE Ltd,Capital Markets,971634,26915.23,2.10%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE196A01026,Marico Ltd,Agricultural Food & Other Products,3599583,26001.59,2.03%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE562A01011,Indian Bank,Banks,4021265,25874.83,2.02%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE823G01014,JK Cement Ltd,Cement & Cement Products,384785,23664.28,1.85%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE591G01025,Coforge Ltd,It - Software,1224015,23556.17,1.84%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE263A01024,Bharat Electronics Ltd,Aerospace & Defense,5354694,22570.04,1.76%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE749A01030,Jindal Steel & Power Ltd,Ferrous Metals,2380218,22414.51,1.75%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE417T01026,PB Fintech Ltd,Financial Technology (Fintech),1204245,21964.22,1.71%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE211B01039,The Phoenix Mills Ltd,Realty,1395264,21789.84,1.70%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE121J01017,Indus Towers Ltd (Prev Bharti Infratel Ltd),Telecom - Services,5069388,21347.19,1.67%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE148O01028,Delhivery Ltd,Transport Services,5428168,20779.03,1.62%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE797F01020,Jubilant Foodworks Ltd,Leisure Services,2929377,20558.37,1.60%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE027H01010,Max Healthcare Institute Ltd,Healthcare Services,1553545,19823.23,1.55%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE686F01025,United Breweries Ltd,Beverages,959285,18716.61,1.46%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE438A01022,Apollo Tyres Ltd,Auto Components,4156994,18656.59,1.46%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE105A01035,TVS Holdings Ltd,Finance,157981,17306.82,1.35%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE342J01019,ZF Commercial Vehicle Control Systems I Ltd,Auto Components,129128,17292.82,1.35%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE427F01016,Chalet Hotels Ltd,Leisure Services,1863350,17171.7,1.34%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE455K01017,Polycab India Ltd,Industrial Products,248612,16286.57,1.27%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE949L01017,AU Small Finance Bank Ltd,Banks,1989510,16264.24,1.27%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE115A01026,LIC Housing Finance Ltd,Finance,2619149,16208.6,1.26%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE195A01028,Supreme Industries Ltd,Industrial Products,364418,16003.05,1.25%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE813H01021,Torrent Power Ltd,Power,1010416,14828.87,1.16%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE600L01024,Dr Lal Path Labs Ltd,Healthcare Services,515995,14428.77,1.13%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE012A01025,ACC Ltd,Cement & Cement Products,740536,14197.56,1.11%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE811K01011,Prestige Estates Projects Ltd,Realty,839322,13910.92,1.09%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE540L01014,Alkem Laboratories Ltd,Pharmaceuticals & Biotechnology,275425,13603.24,1.06%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE494B01023,TVS Motor Company Ltd,Automobiles,465740,13590.29,1.06%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE092T01019,IDFC First Bank Ltd,Banks,18512421,13484.45,1.05%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE180A01020,Max Financial Services Ltd,Insurance,782298,12885.23,1.01%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
INE093I01010,Oberoi Realty Ltd,Realty,671315,12792.58,1.00%,101539,Sundaram Mid Cap Fund Regular Plan - Growth
