NAME OF THE INSTRUMENT,INDUSTRY,ISIN CODE,QUANTITY,MKT VAL(Rs. Lacs),% to NAV,Scheme Code,Scheme Name
HDFC BANK LTD.,Banks,INE040A01034,4400000,88066,9.91,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
PI INDUSTRIES LTD.,Fertilizers & Agrochemicals,INE603J01030,1036607,42549.61,4.79,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
RELIANCE INDUSTRIES LTD.,Petroleum Products,INE002A01018,2800000,42016.8,4.73,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
STATE BANK OF INDIA,Banks,INE062A01020,4350000,35685.23,4.02,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
ICICI BANK LTD.,Banks,INE090A01021,2299020,33239.23,3.74,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
IDFC FIRST BANK LTD.,Banks,INE092T01019,44991627,32771.9,3.69,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
VARUN BEVERAGES LTD.,Beverages,INE200M01039,7000000,32028.5,3.6,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
BHARTI AIRTEL LTD.,Telecom - Services,INE397D01024,1573632,31623.71,3.56,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
SBI CARDS AND PAYMENT SERVICES LTD.,Finance,INE018E01016,3209286,30587.7,3.44,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
FORTIS HEALTHCARE LTD.,Healthcare Services,INE061F01013,3574802,28401.8,3.2,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
HDFC ASSET MANAGEMENT COMPANY LTD.,Capital Markets,INE127D01025,525000,27256.95,3.07,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
CUMMINS INDIA LTD.,Industrial Products,INE298A01020,630000,21416.22,2.41,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
GODREJ PROPERTIES LTD.,Realty,INE484J01027,773262,18118.3,2.04,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
TATA COMMUNICATIONS LTD.,Telecom - Services,INE151A01013,1050010,17751.47,2,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
GODREJ INDUSTRIES LTD,Diversified,INE233A01035,1400000,17446.8,1.96,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
WOCKHARDT LTD.,Pharmaceuticals & Biotechnology,INE049B01025,978826,16777.08,1.89,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
BANDHAN BANK LTD.,Banks,INE545U01014,8800000,16688.32,1.88,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
SUNDRAM FASTENERS LTD.,Auto Components,INE387A01021,1456877,15125.3,1.7,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
