"stock_name","isin","industry","quantity","market_value_in_lacs","scheme_code","scheme_name"
"Shakti Pumps (India) Ltd.","INE908D01010","Industrial Products",143945.0,1359.78,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"UNO Minda Ltd.","INE405E01023","Auto Components",105773.0,1168.05,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"The Federal Bank Ltd.","INE171A01029","Banks",499962.0,1065.52,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Trent Ltd.","INE849A01020","Retailing",16206.0,1007.61,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Bharat Electronics Ltd.","INE263A01024","Aerospace & Defense",189881.0,800.35,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Coromandel International Ltd.","INE169A01031","Fertilizers & Agrochemicals",30067.0,753.24,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"SRF Ltd.","INE647A01010","Chemicals & Petrochemicals",22981.0,745.07,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"The Indian Hotels Company Ltd.","INE053A01029","Leisure Services",97473.0,741.09,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Mahindra & Mahindra Financial Serv Ltd.","INE774D01024","Finance",267974.0,723.4,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Persistent Systems Ltd.","INE262H01021","IT - Software",11637.0,703.05,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Container Corporation Of India Ltd.","INE111A01025","Transport Services",88514.0,672.53,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Muthoot Finance Ltd.","INE414G01012","Finance",25597.0,671.64,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Garware Hi-Tech Films Ltd.","INE291A01017","Industrial Products",15607.0,655.12,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Schaeffler India Ltd.","INE513A01022","Auto Components",16173.0,654.57,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
"Alkem Laboratories Ltd.","INE540L01014","Pharmaceuticals & Biotechnology",12978.0,640.98,152001,"LIC MF Mid Cap Fund-Regular Plan-Growth"
