Ticker,currency,exchange,exchangeTimezoneName,exchangeTimezoneShortName,fullExchangeName,gmtOffSetMilliseconds,longName,market,marketState,quoteType,region,shortName,symbol,typeDisp
AUBANK.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,AU Small Finance Bank Limited,in_market,CLOSED,EQUITY,India,AU SMALL FINANCE BANK LTD,AUBANK.NS,Equity
BHARATFORG.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Bharat Forge Limited,in_market,CLOSED,EQUITY,India,BHARAT FORGE LTD,BHARATFORG.NS,Equity
CDSL.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Central Depository Services (India) Limited,in_market,CLOSED,EQUITY,India,CENTRAL DEPO SER (I) LTD,CDSL.NS,Equity
CYIENT.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Cyient Limited,in_market,CLOSED,EQUITY,India,CYIENT LIMITED,CYIENT.NS,Equity
EQUITASBNK.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Equitas Small Finance Bank Limited,in_market,CLOSED,EQUITY,India,EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,Equity
HDFCBANK.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,HDFC Bank Limited,in_market,CLOSED,EQUITY,India,HDFC BANK LTD,HDFCBANK.NS,Equity
ICICIBANK.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,ICICI Bank Limited,in_market,CLOSED,EQUITY,India,ICICI BANK LTD.,ICICIBANK.NS,Equity
INFY.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Infosys Limited,in_market,CLOSED,EQUITY,India,INFOSYS LIMITED,INFY.NS,Equity
KPITTECH.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,KPIT Technologies Limited,in_market,CLOSED,EQUITY,India,KPIT TECHNOLOGIES LIMITED,KPITTECH.NS,Equity
MAXHEALTH.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Max Healthcare Institute Limited,in_market,CLOSED,EQUITY,India,MAX HEALTHCARE INS LTD,MAXHEALTH.NS,Equity
RELIANCE.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Reliance Industries Limited,in_market,CLOSED,EQUITY,India,RELIANCE INDUSTRIES LTD,RELIANCE.NS,Equity
TATAELXSI.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Tata Elxsi Limited,in_market,CLOSED,EQUITY,India,TATA ELXSI LIMITED,TATAELXSI.NS,Equity
TCS.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Tata Consultancy Services Limited,in_market,CLOSED,EQUITY,India,TATA CONSULTANCY SERV LT,TCS.NS,Equity
TIINDIA.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Tube Investments of India Limited,in_market,CLOSED,EQUITY,India,TUBE INVEST OF INDIA LTD,TIINDIA.NS,Equity
ZYDUSLIFE.NS,INR,NSI,Asia/Kolkata,IST,NSE,19800000,Zydus Lifesciences Limited,in_market,CLOSED,EQUITY,India,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE.NS,Equity
^BSESN,INR,BSE,Asia/Kolkata,IST,BSE,19800000,S&P BSE SENSEX,in_market,CLOSED,INDEX,India,S&P BSE SENSEX,^BSESN,Index
^CNXSC,INR,NSI,Asia/Kolkata,IST,NSE,19800000,NIFTY SMLCAP 100,in_market,CLOSED,INDEX,India,NIFTY SMLCAP 100,^CNXSC,Index
^NSEI,INR,NSI,Asia/Kolkata,IST,NSE,19800000,NIFTY 50,in_market,CLOSED,INDEX,India,NIFTY 50,^NSEI,Index
^NSEMDCP50,INR,NSI,Asia/Kolkata,IST,NSE,19800000,NIFTY MIDCAP 50,in_market,CLOSED,INDEX,India,NIFTY MIDCAP 50,^NSEMDCP50,Index
